product_id,color_name,color_hex,image_path
00083-bbt,화이트,#ffffff,/images/products/00083-bbt/00083-BBT-001_M.jpg
00083-bbt,모쿠 그레이,#c6c8c9,/images/products/00083-bbt/00083-BBT-003_M.jpg
00083-bbt,블랙,#1a1a1a,/images/products/00083-bbt/00083-BBT-005_M.jpg
00083-bbt,퍼플,#48339b,/images/products/00083-bbt/00083-BBT-014_M.jpg
00083-bbt,네이비,#0f1d35,/images/products/00083-bbt/00083-BBT-031_M.jpg
00083-bbt,로얄 블루,#054cb9,/images/products/00083-bbt/00083-BBT-032_M.jpg
00083-bbt,버건디,#731630,/images/products/00083-bbt/00083-BBT-112_M.jpg
00083-bbt,라이트 블루,#a2dbe7,/images/products/00083-bbt/00083-BBT-133_M.jpg
00085-cvt,화이트,#ffffff,/images/products/00085-cvt/00085-CVT-001_M.jpg
00085-cvt,모쿠 그레이,#c6c8c9,/images/products/00085-cvt/00085-CVT-003_M.jpg
00085-cvt,블랙,#1a1a1a,/images/products/00085-cvt/00085-CVT-005_M.jpg
00085-cvt,레드,#e6193c,/images/products/00085-cvt/00085-CVT-010_M.jpg
00085-cvt,핑크,#f472b6,/images/products/00085-cvt/00085-CVT-011_M.jpg
00085-cvt,퍼플,#48339b,/images/products/00085-cvt/00085-CVT-014_M.jpg
00085-cvt,오렌지,#ff5f00,/images/products/00085-cvt/00085-CVT-015_M.jpg
00085-cvt,그린,#00874e,/images/products/00085-cvt/00085-CVT-025_M.jpg
00085-cvt,네이비,#0f1d35,/images/products/00085-cvt/00085-CVT-031_M.jpg
00085-cvt,로얄 블루,#054cb9,/images/products/00085-cvt/00085-CVT-032_M.jpg
00085-cvt,터코이즈,#00a2cc,/images/products/00085-cvt/00085-CVT-034_M.jpg
00085-cvt,아미그린,#4a533c,/images/products/00085-cvt/00085-CVT-037_M.jpg
00085-cvt,오트밀,#e2dbcd,/images/products/00085-cvt/00085-CVT-039_M.jpg
00085-cvt,애쉬,#e1e4e6,/images/products/00085-cvt/00085-CVT-044_M.jpg
00085-cvt,아이보리,#faf8f0,/images/products/00085-cvt/00085-CVT-073_M.jpg
00085-cvt,인디고,#182a47,/images/products/00085-cvt/00085-CVT-097_M.jpg
00085-cvt,데님,#536881,/images/products/00085-cvt/00085-CVT-109_M.jpg
00085-cvt,버건디,#731630,/images/products/00085-cvt/00085-CVT-112_M.jpg
