상품코드,자체 상품코드,진열상태,판매상태,상품분류 번호,상품분류 신상품영역,상품분류 추천상품영역,상품명,영문 상품명,상품명(관리용),공급사 상품명,모델명,상품 요약설명,상품 간략설명,상품 상세설명,모바일 상품 상세설명 설정,모바일 상품 상세설명,검색어설정,과세구분,소비자가,공급가,상품가,판매가,판매가 대체문구 사용,판매가 대체문구,주문수량 제한 기준,최소 주문수량(이상),최대 주문수량(이하),적립금,적립금 구분,공통이벤트 정보,성인인증,옵션사용,품목 구성방식,옵션 표시방식,옵션세트명,옵션입력,옵션 스타일,버튼이미지 설정,색상 설정,필수여부,품절표시 문구,추가입력옵션,추가입력옵션 명칭,추가입력옵션 선택/필수여부,입력글자수(자),이미지등록(상세),이미지등록(목록),이미지등록(작은목록),이미지등록(축소),이미지등록(추가),제조사,공급사,브랜드,트렌드,자체분류 코드,제조일자,출시일자,유효기간 사용여부,유효기간,원산지,상품부피(cm),상품결제안내,상품배송안내,교환/반품안내,서비스문의/안내,배송정보,배송방법,국내/해외배송,배송지역,배송비 선결제 설정,배송기간,배송비 구분,배송비입력,스토어픽업 설정,상품 전체중량(kg),HS코드,상품 구분(해외통관),상품소재,영문 상품소재(해외통관),옷감(해외통관),검색엔진최적화(SEO) 검색엔진 노출 설정,검색엔진최적화(SEO) Title,검색엔진최적화(SEO) Author,검색엔진최적화(SEO) Description,검색엔진최적화(SEO) Keywords,검색엔진최적화(SEO) 상품 이미지 Alt 텍스트,개별결제수단설정,상품배송유형 코드,메모
,00083-bbt,Y,Y,29,Y,Y,00083-BBT 라이트 라운드 티셔츠 (면32수),,,,00083-bbt,가볍고 시원한 착용감의 4.0온스 라이트 티셔츠,,32수 편면 조직(135g/㎡)으로 가볍게 짜여 한여름 이너나 대량 단체복 제작으로 적합합니다.,,,"프린트스타,데일리 웨어,00083-BBT 라이트 라운드 티셔츠 (면32수)",A|10,7600,7600,7600,7600,N,,,1,,,,,N,Y,T,C,,색상{화이트|모쿠 그레이|블랙|퍼플|네이비|로얄 블루|버건디|라이트 블루}//사이즈{150|160|S|M|L|XL|2XL},"P,S",,{#ffffff|#c6c8c9|#1a1a1a|#48339b|#0f1d35|#054cb9|#731630|#a2dbe7},,품절,,,,,/images/products/00083-bbt/00083-BBT-001_M.jpg,/images/products/00083-bbt/00083-BBT-001_M.jpg,/images/products/00083-bbt/00083-BBT-001_M.jpg,/images/products/00083-bbt/00083-BBT-001_M.jpg,,,,B000000B,,,,,N,,,,,,,,,B,A,전국,C,2|4,D,2000|3000|20000//2000|3000|4000,,,,,,,,Y,00083-BBT 라이트 라운드 티셔츠 (면32수),,가볍고 시원한 착용감의 4.0온스 라이트 티셔츠,"프린트스타,데일리 웨어",,"cash,mileage",C,
,00085-cvt,Y,Y,29,Y,Y,00085-CVT 베이직 라운드 티셔츠 (면17수),,,,00085-cvt,"누적 판매 1위, 전 세계 표준 베이직 티셔츠",,5.6온스(190g/㎡)의 도톰하고 탄탄한 17수 면 원단으로 비침이 없어 단체복 및 굿즈 제작용 부동의 1위입니다.,,,"프린트스타,데일리 웨어,00085-CVT 베이직 라운드 티셔츠 (면17수)",A|10,9400,9400,9400,9400,N,,,1,,,,,N,Y,T,C,,색상{화이트|모쿠 그레이|블랙|레드|핑크|퍼플|오렌지|그린|네이비|로얄 블루|터코이즈|아미그린|오트밀|애쉬|아이보리|인디고|데님|버건디|올리브|차콜|라이트 핑크|라이트 블루|라이트 옐로우|핫핑크|실버 그레이|데이지|재팬 블루|라이트 퍼플|아이스 그린|틸그린|코코아브라운|스모크옐로우|라이트세이지|모스그레이|애시드블루}//사이즈{110|120|130|140|150|160|XS|S|M|L|XL|2XL|3XL|4XL},"P,S",,{#ffffff|#c6c8c9|#1a1a1a|#e6193c|#f472b6|#48339b|#ff5f00|#00874e|#0f1d35|#054cb9|#00a2cc|#4a533c|#e2dbcd|#e1e4e6|#faf8f0|#182a47|#536881|#731630|#565d38|#494b52|#ffccd5|#a2dbe7|#fff4ab|#e6006f|#b8b6b9|#ffcc00|#1b4aa6|#c3b2db|#9be0cd|#134e4d|#5a4540|#d2b786|#9cb8a7|#859897|#98adc2},,품절,,,,,/images/products/00085-cvt/00085-CVT-001_M.jpg,/images/products/00085-cvt/00085-CVT-001_M.jpg,/images/products/00085-cvt/00085-CVT-001_M.jpg,/images/products/00085-cvt/00085-CVT-001_M.jpg,,,,B000000B,,,,,N,,,,,,,,,B,A,전국,C,2|4,D,2000|3000|20000//2000|3000|4000,,,,,,,,Y,00085-CVT 베이직 라운드 티셔츠 (면17수),,"누적 판매 1위, 전 세계 표준 베이직 티셔츠","프린트스타,데일리 웨어",,"cash,mileage",C,
,00086-dmt,Y,Y,29,Y,Y,00086-DMT 스탠다드 라운드 티셔츠 (면20수),,,,00086-dmt,알맞게 슬림하며 적당한 두께의 20수 면 티셔츠,,적당한 두께감(170g/㎡)의 20수 원사를 사용하여 입었을 때 바디 실루엣이 세련되고 편안합니다.,,,"프린트스타,데일리 웨어,00086-DMT 스탠다드 라운드 티셔츠 (면20수)",A|10,8400,8400,8400,8400,N,,,1,,,,,N,Y,T,C,,색상{화이트|모쿠 그레이|블랙|레드|퍼플|오렌지|옐로우|라이트 그린|민트 그린|네이비|로얄 블루|터코이즈|아미그린|오트밀|버건디|차콜|라이트 핑크|라이트 블루}//사이즈{100|110|120|130|140|150|160|S|M|L|XL|2XL|3XL},"P,S",,{#ffffff|#c6c8c9|#1a1a1a|#e6193c|#48339b|#ff5f00|#facc15|#86efac|#a7f3d0|#0f1d35|#054cb9|#00a2cc|#4a533c|#e2dbcd|#731630|#494b52|#ffccd5|#a2dbe7},,품절,,,,,/images/products/00086-dmt/00086-DMT-001_M.jpg,/images/products/00086-dmt/00086-DMT-001_M.jpg,/images/products/00086-dmt/00086-DMT-001_M.jpg,/images/products/00086-dmt/00086-DMT-001_M.jpg,,,,B000000B,,,,,N,,,,,,,,,B,A,전국,C,2|4,D,2000|3000|20000//2000|3000|4000,,,,,,,,Y,00086-DMT 스탠다드 라운드 티셔츠 (면20수),,알맞게 슬림하며 적당한 두께의 20수 면 티셔츠,"프린트스타,데일리 웨어",,"cash,mileage",C,
,00087-oet,Y,Y,29,Y,Y,00087-OET 하이 그레이드 리브 바인딩 티셔츠 (OE면사 16수),,,,00087-oet,아메리칸 감성의 터프한 오픈엔드 원사 바인딩 넥 티셔츠,,오픈엔드(OE)사로 짜여 드라이하고 거친 텍스처를 선사하며 넥 라인을 이중 바인딩 마감하여 변형을 막아줍니다.,,,"프린트스타,데일리 웨어,00087-OET 하이 그레이드 리브 바인딩 티셔츠 (OE면사 16수)",A|10,10200,10200,10200,10200,N,,,1,,,,,N,Y,T,C,,색상{화이트|블랙|네이비|아미그린|아이보리|차콜|메트로블루|코코아브라운|스모크옐로우|스모크블랙|모스그레이|애시드블루|라이트 베이지}//사이즈{S|M|L|XL|2XL|3XL},"P,S",,{#ffffff|#1a1a1a|#0f1d35|#4a533c|#faf8f0|#494b52|#1e40af|#5a4540|#d2b786|#262626|#859897|#98adc2|#eddabf},,품절,,,,,/images/products/00087-oet/00087-OET-001_L.jpg,/images/products/00087-oet/00087-OET-001_L.jpg,/images/products/00087-oet/00087-OET-001_L.jpg,/images/products/00087-oet/00087-OET-001_L.jpg,,,,B000000B,,,,,N,,,,,,,,,B,A,전국,C,2|4,D,2000|3000|20000//2000|3000|4000,,,,,,,,Y,00087-OET 하이 그레이드 리브 바인딩 티셔츠 (OE면사 16수),,아메리칸 감성의 터프한 오픈엔드 원사 바인딩 넥 티셔츠,"프린트스타,데일리 웨어",,"cash,mileage",C,
,00095-cve,Y,Y,29,Y,Y,"00095-CVE 베이직 라운드 티셔츠 (면17수, 트렌디 컬러)",,,,00095-cve,00085-CVT 면사 사양에 최신 감성 컬러를 가미한 스페셜 컬렉션,,프린트스타 대표작 00085-CVT와 동일한 원단감에 트렌디한 시즌 한정 색상을 특별 제공합니다.,,,"프린트스타,데일리 웨어,00095-CVE 베이직 라운드 티셔츠 (면17수, 트렌디 컬러)",A|10,9400,9400,9400,9400,N,,,1,,,,,N,Y,T,C,,색상{시멘트|코요테|샌드카키}//사이즈{160|XS|S|M|L|XL|2XL|3XL},"P,S",,{#a1a1aa|#a16207|#78716c},,품절,,,,,/images/products/00095-cve/00095-CVE-151_M.jpg,/images/products/00095-cve/00095-CVE-151_M.jpg,/images/products/00095-cve/00095-CVE-151_M.jpg,/images/products/00095-cve/00095-CVE-151_M.jpg,,,,B000000B,,,,,N,,,,,,,,,B,A,전국,C,2|4,D,2000|3000|20000//2000|3000|4000,,,,,,,,Y,"00095-CVE 베이직 라운드 티셔츠 (면17수, 트렌디 컬러)",,00085-CVT 면사 사양에 최신 감성 컬러를 가미한 스페셜 컬렉션,"프린트스타,데일리 웨어",,"cash,mileage",C,
,00102-cvl,Y,Y,29,Y,Y,00102-CVL 베이직 라운드 긴팔 티셔츠 (면17수),,,,00102-cvl,탄탄한 17수 베이직 라운드 티셔츠의 오리지널 긴팔 버전,,5.6온스 면 100% 원단으로 제작되어 비침이 없고 사계절 내내 코디하기 유용한 기본 라운드 긴팔 티셔츠입니다.,,,"프린트스타,데일리 웨어,00102-CVL 베이직 라운드 긴팔 티셔츠 (면17수)",A|10,13000,13000,13000,13000,N,,,1,,,,,N,Y,T,C,,색상{화이트|모쿠 그레이|블랙|레드|네이비|로얄 블루|아미그린|버건디}//사이즈{110|130|150|XS|S|M|L|XL|2XL|3XL},"P,S",,{#ffffff|#c6c8c9|#1a1a1a|#e6193c|#0f1d35|#054cb9|#4a533c|#731630},,품절,,,,,/images/products/00102-cvl/00102-CVL-001_M.jpg,/images/products/00102-cvl/00102-CVL-001_M.jpg,/images/products/00102-cvl/00102-CVL-001_M.jpg,/images/products/00102-cvl/00102-CVL-001_M.jpg,,,,B000000B,,,,,N,,,,,,,,,B,A,전국,C,2|4,D,2000|3000|20000//2000|3000|4000,,,,,,,,Y,00102-CVL 베이직 라운드 긴팔 티셔츠 (면17수),,탄탄한 17수 베이직 라운드 티셔츠의 오리지널 긴팔 버전,"프린트스타,데일리 웨어",,"cash,mileage",C,
,00109-pct,Y,Y,29,Y,Y,00109-PCT 베이직 라운드 포켓 티셔츠 (면17수),,,,00109-pct,왼가슴 유틸리티 포켓이 장착된 실용적인 데일리 티셔츠,,17수 평직 원단으로 제작되어 튼튼하며 왼쪽 가슴에 실용적인 크기의 포켓이 위치해 포인트 이너로 적합합니다.,,,"프린트스타,데일리 웨어,00109-PCT 베이직 라운드 포켓 티셔츠 (면17수)",A|10,10600,10600,10600,10600,N,,,1,,,,,N,Y,T,C,,색상{화이트|모쿠 그레이|블랙|네이비|아미그린}//사이즈{S|M|L|XL|2XL|3XL},"P,S",,{#ffffff|#c6c8c9|#1a1a1a|#0f1d35|#4a533c},,품절,,,,,/images/products/00109-pct/00109-PCT-001.jpg,/images/products/00109-pct/00109-PCT-001.jpg,/images/products/00109-pct/00109-PCT-001.jpg,/images/products/00109-pct/00109-PCT-001.jpg,,,,B000000B,,,,,N,,,,,,,,,B,A,전국,C,2|4,D,2000|3000|20000//2000|3000|4000,,,,,,,,Y,00109-PCT 베이직 라운드 포켓 티셔츠 (면17수),,왼가슴 유틸리티 포켓이 장착된 실용적인 데일리 티셔츠,"프린트스타,데일리 웨어",,"cash,mileage",C,
,00110-cll,Y,Y,29,Y,Y,00110-CLL 베이직 라운드 시보리 긴팔 티셔츠 (면17수),,,,00110-cll,소매단 시보리(시보리) 마감으로 흘러내림을 방지한 긴팔 티셔츠,,손목 리브(시보리) 처리가 되어 있어 소매 걷어 올리기 편하며 형태 안정성이 뛰어난 17수 긴팔 티셔츠입니다.,,,"프린트스타,데일리 웨어,00110-CLL 베이직 라운드 시보리 긴팔 티셔츠 (면17수)",A|10,14400,14400,14400,14400,N,,,1,,,,,N,Y,T,C,,색상{화이트|모쿠 그레이|블랙|네이비|아이보리}//사이즈{XS|S|M|L|XL|2XL|3XL},"P,S",,{#ffffff|#c6c8c9|#1a1a1a|#0f1d35|#faf8f0},,품절,,,,,/images/products/00110-cll/00110-CLL-001_M.jpg,/images/products/00110-cll/00110-CLL-001_M.jpg,/images/products/00110-cll/00110-CLL-001_M.jpg,/images/products/00110-cll/00110-CLL-001_M.jpg,,,,B000000B,,,,,N,,,,,,,,,B,A,전국,C,2|4,D,2000|3000|20000//2000|3000|4000,,,,,,,,Y,00110-CLL 베이직 라운드 시보리 긴팔 티셔츠 (면17수),,소매단 시보리(시보리) 마감으로 흘러내림을 방지한 긴팔 티셔츠,"프린트스타,데일리 웨어",,"cash,mileage",C,
,00113-bcv,Y,Y,29,Y,Y,00113-BCV 오버핏 라운드 티셔츠 (면17수),,,,00113-bcv,넓은 어깨폭과 짧은 기장으로 스타일리시한 와이드 루즈핏 티셔츠,,어깨 라인이 넉넉히 떨어지는 루즈핏 실루엣으로 요즘 스트릿 코디 및 크롭 스타일링에 완벽하게 어울립니다.,,,"프린트스타,데일리 웨어,00113-BCV 오버핏 라운드 티셔츠 (면17수)",A|10,11400,11400,11400,11400,N,,,1,,,,,N,Y,T,C,,색상{화이트|모쿠 그레이|블랙|네이비|카멜|더스티 핑크|다크 브라운|더스티 블루}//사이즈{S|M|L|XL},"P,S",,{#ffffff|#c6c8c9|#1a1a1a|#0f1d35|#b45309|#f472b6|#3b2314|#60a5fa},,품절,,,,,/images/products/00113-bcv/00113-BCV-001_M.jpg,/images/products/00113-bcv/00113-BCV-001_M.jpg,/images/products/00113-bcv/00113-BCV-001_M.jpg,/images/products/00113-bcv/00113-BCV-001_M.jpg,,,,B000000B,,,,,N,,,,,,,,,B,A,전국,C,2|4,D,2000|3000|20000//2000|3000|4000,,,,,,,,Y,00113-BCV 오버핏 라운드 티셔츠 (면17수),,넓은 어깨폭과 짧은 기장으로 스타일리시한 와이드 루즈핏 티셔츠,"프린트스타,데일리 웨어",,"cash,mileage",C,
,00141-nvp,Y,Y,29,Y,Y,00141-NVP 드라이 포켓 폴로셔츠 (T/C),,,,00141-nvp,드라이 흡습 속건 기능이 접목된 가슴 포켓 포멀 폴로 셔츠,,면과 폴리에스터의 혼방으로 편안한 착용감과 쾌적한 땀 흡수 기능을 동시에 겸비하여 쿨비즈 단체복으로 안성맞춤입니다.,,,"프린트스타,데일리 웨어,00141-NVP 드라이 포켓 폴로셔츠 (T/C)",A|10,12000,12000,12000,12000,N,,,1,,,,,N,Y,T,C,,색상{화이트|블랙|오렌지|네이비|로얄 블루}//사이즈{XS|S|M|L|XL|2XL|3XL|4XL|5XL},"P,S",,{#ffffff|#1a1a1a|#ff5f00|#0f1d35|#054cb9},,품절,,,,,/images/products/00141-nvp/00141-NVP-001_L.jpg,/images/products/00141-nvp/00141-NVP-001_L.jpg,/images/products/00141-nvp/00141-NVP-001_L.jpg,/images/products/00141-nvp/00141-NVP-001_L.jpg,,,,B000000B,,,,,N,,,,,,,,,B,A,전국,C,2|4,D,2000|3000|20000//2000|3000|4000,,,,,,,,Y,00141-NVP 드라이 포켓 폴로셔츠 (T/C),,드라이 흡습 속건 기능이 접목된 가슴 포켓 포멀 폴로 셔츠,"프린트스타,데일리 웨어",,"cash,mileage",C,
,00148-hvt,Y,Y,29,Y,Y,00148-HVT 헤비 라운드 티셔츠 (면14수),,,,00148-hvt,"7.4온스의 압도적인 중량감, 프린트스타 최상위 헤비웨이트 면티",,가장 두꺼운 14수 오리지널 카드사를 활용해 비침 우려가 전혀 없으며 오래 세탁해도 변형이 거의 없는 프리미엄 티셔츠입니다.,,,"프린트스타,데일리 웨어,00148-HVT 헤비 라운드 티셔츠 (면14수)",A|10,12800,12800,12800,12800,N,,,1,,,,,N,Y,T,C,,색상{화이트|모쿠 그레이|블랙|레드|네이비|로얄 블루|아미그린|아이보리|버건디|라이트 핑크|라이트 블루|사파리|아이비그린|더스티 핑크|라이트세이지|다크 브라운|라이트 베이지|더스티 블루}//사이즈{XS|S|M|L|XL|2XL|3XL},"P,S",,{#ffffff|#c6c8c9|#1a1a1a|#e6193c|#0f1d35|#054cb9|#4a533c|#faf8f0|#731630|#ffccd5|#a2dbe7|#b45309|#064e3b|#f472b6|#9cb8a7|#3b2314|#eddabf|#60a5fa},,품절,,,,,/images/products/00148-hvt/00148-HVT-001_M.jpg,/images/products/00148-hvt/00148-HVT-001_M.jpg,/images/products/00148-hvt/00148-HVT-001_M.jpg,/images/products/00148-hvt/00148-HVT-001_M.jpg,,,,B000000B,,,,,N,,,,,,,,,B,A,전국,C,2|4,D,2000|3000|20000//2000|3000|4000,,,,,,,,Y,00148-HVT 헤비 라운드 티셔츠 (면14수),,"7.4온스의 압도적인 중량감, 프린트스타 최상위 헤비웨이트 면티","프린트스타,데일리 웨어",,"cash,mileage",C,
,00149-hvl,Y,Y,29,Y,Y,00149-HVL 헤비 라운드 시보리 긴팔 티셔츠 (면14수),,,,00149-hvl,7.4온스의 초고밀도 원단과 시보리 마감 프리미엄 긴팔 티셔츠,,최상급 14수 코튼사로 묵직한 중량감을 느낄 수 있으며 손목 리브 마감으로 완성도를 높인 프리미엄 라운드 롱슬리브입니다.,,,"프린트스타,데일리 웨어,00149-HVL 헤비 라운드 시보리 긴팔 티셔츠 (면14수)",A|10,16800,16800,16800,16800,N,,,1,,,,,N,Y,T,C,,색상{화이트|모쿠 그레이|블랙|네이비|라이트 핑크}//사이즈{XS|S|M|L|XL|2XL|3XL},"P,S",,{#ffffff|#c6c8c9|#1a1a1a|#0f1d35|#ffccd5},,품절,,,,,/images/products/00149-hvl/00149-HVL-001_M.jpg,/images/products/00149-hvl/00149-HVL-001_M.jpg,/images/products/00149-hvl/00149-HVL-001_M.jpg,/images/products/00149-hvl/00149-HVL-001_M.jpg,,,,B000000B,,,,,N,,,,,,,,,B,A,전국,C,2|4,D,2000|3000|20000//2000|3000|4000,,,,,,,,Y,00149-HVL 헤비 라운드 시보리 긴팔 티셔츠 (면14수),,7.4온스의 초고밀도 원단과 시보리 마감 프리미엄 긴팔 티셔츠,"프린트스타,데일리 웨어",,"cash,mileage",C,
,00183-nsc,Y,Y,29,Y,Y,00183-NSC 헤비웨이트 맨투맨 (9.7oz),,,,00183-nsc,9.7온스 기모 안감의 탄탄한 스탠다드 핏 크루넥 스웨트셔츠,,도톰한 기모 짜임 구조로 방한성과 부드러운 촉감을 강조한 데일리 크루넥 맨투맨입니다.,,,"프린트스타,데일리 웨어,00183-NSC 헤비웨이트 맨투맨 (9.7oz)",A|10,24800,24800,24800,24800,N,,,1,,,,,N,Y,T,C,,색상{화이트|모쿠 그레이|블랙|네이비|로얄 블루|오트밀|버건디}//사이즈{XS|S|M|L|XL|2XL|3XL|4XL},"P,S",,{#ffffff|#c6c8c9|#1a1a1a|#0f1d35|#054cb9|#e2dbcd|#731630},,품절,,,,,/images/products/00183-nsc/00183-NSC-001_L.jpg,/images/products/00183-nsc/00183-NSC-001_L.jpg,/images/products/00183-nsc/00183-NSC-001_L.jpg,/images/products/00183-nsc/00183-NSC-001_L.jpg,,,,B000000B,,,,,N,,,,,,,,,B,A,전국,C,2|4,D,2000|3000|20000//2000|3000|4000,,,,,,,,Y,00183-NSC 헤비웨이트 맨투맨 (9.7oz),,9.7온스 기모 안감의 탄탄한 스탠다드 핏 크루넥 스웨트셔츠,"프린트스타,데일리 웨어",,"cash,mileage",C,
